,submission_id,topic_champion
402,nz4fmy,ahri
402,nz4fmy,leblanc
403,nz4dtb,aatrox
403,nz4dtb,ahri
404,nz4dpq,aatrox
404,nz4dpq,ahri
405,nz4bur,ezreal
406,nz45kj,galio
406,nz45kj,kog'maw
407,nz44pi,sett
408,nz440x,aatrox
408,nz440x,ahri
409,nz40tu,akali
410,nz3sm6,karthus
411,nz3r65,aatrox
411,nz3r65,ahri
412,nz3mym,aatrox
412,nz3mym,ahri
413,nz3lzt,akali
414,nz3ktu,aatrox
414,nz3ktu,ahri
415,nz3itn,aatrox
415,nz3itn,ahri
416,nz3il4,yasuo
417,nz3f87,aatrox
417,nz3f87,ahri
418,nz3eeh,akali
419,nz33h1,kog'maw
420,nz31pm,lillia
421,nz2qqo,aatrox
421,nz2qqo,ahri
422,nz2ni5,gnar
422,nz2ni5,nasus
423,nz2nb3,aatrox
423,nz2nb3,ahri
424,nz2mui,aatrox
424,nz2mui,ahri
425,nz2l69,ahri
425,nz2l69,dr. mundo
426,nz2k9d,aatrox
426,nz2k9d,ahri
427,nz2ixn,tristana
427,nz2ixn,viego
428,nz2i3o,aatrox
428,nz2i3o,ahri
429,nz2hr6,tahm kench
430,nz2gge,irelia
430,nz2gge,neeko
431,nz2enn,sett
432,nz2903,aatrox
432,nz2903,ahri
433,nz25f3,yuumi
434,nz239t,veigar
435,nz1x6l,master yi
435,nz1x6l,xerath
436,nz1vji,viego
437,nz1q12,aatrox
437,nz1q12,ahri
438,nz1owa,aatrox
438,nz1owa,ahri
439,nz1m1t,aatrox
439,nz1m1t,ahri
440,nz1jzc,akali
441,nz1hgh,aatrox
441,nz1hgh,ahri
442,nz1h4q,aatrox
442,nz1h4q,ahri
443,nz1f2s,aatrox
443,nz1f2s,ahri
444,nz1eel,akali
445,nz1cn8,aatrox
445,nz1cn8,ahri
446,nz1bi8,ziggs
447,nz1b8c,aatrox
447,nz1b8c,ahri
448,nz1818,illaoi
449,nz16ch,aatrox
449,nz16ch,ahri
450,nz15n5,aatrox
450,nz15n5,ahri
451,nz153w,miss fortune
452,nz13qg,aatrox
452,nz13qg,ahri
453,nz1389,aurelion sol
453,nz1389,cho'gath
454,nz0ykv,aatrox
454,nz0ykv,ahri
455,nz0vxk,draven
456,nz0t0t,aatrox
456,nz0t0t,ahri
457,nz0qyr,aatrox
457,nz0qyr,ahri
458,nz0l7n,karthus
458,nz0l7n,lulu
459,nz0ftu,aatrox
459,nz0ftu,ahri
460,nz09os,aatrox
460,nz09os,ahri
461,nz09lo,akali
462,nz095s,kassadin
463,nz07z8,akali
464,nz03om,miss fortune
465,nz02sj,aatrox
465,nz02sj,ahri
466,nz0257,kayn
467,nyzylj,aatrox
467,nyzylj,ahri
468,nyzyf0,aatrox
468,nyzyf0,ahri
469,nyztwa,aatrox
469,nyztwa,ahri
470,nyzrla,mordekaiser
471,nyzq39,aatrox
471,nyzq39,ahri
472,nyzp4w,yuumi
473,nyzl3f,aatrox
473,nyzl3f,ahri
474,nyzkt7,thresh
475,nyzhi5,aatrox
475,nyzhi5,ahri
476,nyzdg6,ashe
476,nyzdg6,ezreal
477,nyzd9f,akali
478,nyzbcu,aatrox
478,nyzbcu,ahri
479,nyza99,akali
480,nyz8uo,illaoi
480,nyz8uo,jarvan iv
481,nyz75n,aatrox
481,nyz75n,ahri
482,nyz5j5,aatrox
482,nyz5j5,ahri
483,nyz1ag,thresh
484,nyyzok,akali
485,nyyzl7,aatrox
485,nyyzl7,ahri
486,nyywt2,aatrox
486,nyywt2,ahri
487,nyys17,aatrox
487,nyys17,ahri
488,nyyg0v,draven
489,nyyfc3,aatrox
489,nyyfc3,ahri
490,nyy758,aatrox
490,nyy758,ahri
491,nyy6cm,miss fortune
492,nyy3ng,aatrox
492,nyy3ng,ahri
493,nyxwh0,aatrox
493,nyxwh0,ahri
494,nyxtef,aatrox
494,nyxtef,ahri
495,nyxqwy,aatrox
495,nyxqwy,ahri
496,nyxmha,rek'sai
497,nyxlwf,seraphine
498,nyxhz9,dr. mundo
498,nyxhz9,teemo
499,nyxh5u,master yi
500,nyxgt3,xin zhao
501,nyxfkb,akali
502,nyxf3s,aatrox
502,nyxf3s,ahri
503,nyxccc,aatrox
503,nyxccc,ahri
504,nyx8vk,aatrox
504,nyx8vk,ahri
505,nyx712,aatrox
505,nyx712,ahri
506,nyx47h,aatrox
506,nyx47h,ahri
507,nywzzh,caitlyn
508,nywzyy,aatrox
508,nywzyy,ahri
509,nywzb1,aatrox
509,nywzb1,ahri
510,nywvfm,aatrox
510,nywvfm,ahri
511,nywu73,aatrox
511,nywu73,ahri
512,nywtku,aatrox
512,nywtku,ahri
513,nywstz,aatrox
513,nywstz,ahri
514,nywsmb,zed
515,nywrw4,aatrox
515,nywrw4,ahri
516,nywpql,aatrox
516,nywpql,ahri
517,nywpiu,aatrox
517,nywpiu,ahri
518,nywp4i,aatrox
518,nywp4i,ahri
519,nywh85,aatrox
519,nywh85,ahri
520,nywear,aatrox
520,nywear,ahri
521,nywddl,ahri
521,nywddl,talon
522,nywahf,ahri
522,nywahf,lillia
523,nyw5e7,draven
524,nyw50l,aatrox
524,nyw50l,ahri
525,nyw3j1,yuumi
526,nyw244,illaoi
527,nyvwz6,aatrox
527,nyvwz6,ahri
528,nyvuor,aatrox
528,nyvuor,ahri
529,nyvu7t,brand
529,nyvu7t,pyke
530,nyvtov,ezreal
531,nyvr1g,aatrox
531,nyvr1g,ahri
532,nyvq9b,aatrox
532,nyvq9b,ahri
533,nyvnhx,aatrox
533,nyvnhx,ahri
534,nyvnhd,aatrox
534,nyvnhd,ahri
535,nyvmkr,gwen
536,nyvlnv,kindred
537,nyvk6p,aatrox
537,nyvk6p,ahri
538,nyvk08,kha'zix
539,nyvjhs,aatrox
539,nyvjhs,ahri
540,nyvisy,twisted fate
540,nyvisy,vayne
541,nyvhv7,ivern
542,nyvcu5,katarina
542,nyvcu5,lux
543,nyvcgb,aatrox
543,nyvcgb,ahri
544,nyvc5d,twisted fate
545,nyv8nb,blitzcrank
545,nyv8nb,malzahar
546,nyv7sc,aatrox
546,nyv7sc,ahri
547,nyv4m9,aatrox
547,nyv4m9,ahri
548,nyuy3j,aatrox
548,nyuy3j,ahri
549,nyuo1t,aatrox
549,nyuo1t,ahri
550,nyunqd,aatrox
550,nyunqd,ahri
551,nyulp2,aatrox
551,nyulp2,ahri
552,nyukmq,ezreal
552,nyukmq,karma
553,nyukih,aatrox
553,nyukih,ahri
554,nyudk7,aatrox
554,nyudk7,ahri
555,nyubv4,aatrox
555,nyubv4,ahri
556,nyubem,aatrox
556,nyubem,ahri
557,nyuatd,aatrox
557,nyuatd,ahri
558,nyua5f,aatrox
558,nyua5f,ahri
559,nyu9as,sett
560,nyu8iq,dr. mundo
561,nyu7z8,viego
562,nyu7f9,aatrox
562,nyu7f9,ahri
563,nyu71u,riven
564,nyu57l,ezreal
564,nyu57l,vayne
565,nytzey,aatrox
565,nytzey,ahri
566,nytv2r,aatrox
566,nytv2r,ahri
567,nytuun,lee sin
568,nyttxh,karma
569,nytt69,katarina
570,nytspi,gwen
571,nytr3z,katarina
571,nytr3z,gwen
572,nytr2f,ezreal
573,nytm53,aatrox
573,nytm53,ahri
574,nytlai,cho'gath
574,nytlai,gwen
575,nytk92,aatrox
575,nytk92,ahri
576,nytj7w,aatrox
576,nytj7w,ahri
577,nytj4d,aatrox
577,nytj4d,ahri
578,nytitl,aatrox
578,nytitl,ahri
579,nyted1,jax
580,nytdl0,kayn
581,nytc8u,aatrox
581,nytc8u,ahri
582,nytb9v,aatrox
582,nytb9v,ahri
583,nyt9mk,jhin
583,nyt9mk,lux
